address,label
0x63242A4Ea82847b20E506b63B0e2e2eFF0CC6cB0,Kyber Network
0xd5D9E2B7240337533Cb9415C8A9DAa5F0d34AFf3,Paxos Deposit
0xCFFAd3200574698b78f32232aa9D63eABD290703,Crypto.com (Hot Wallet)
0x59D7B8bf8A85BC8439088746f9fad8A05924e847,Paxos Deposit
0x1A34f1B1860885f6B0946847894719711E43Ca2C,Copper (Hot Wallet)
0x410e226Dfbf394b24a1Ff599606C8894EB5d4596,Copper (Hot Wallet)
0x8e9494B8B9A8fB885e7f5dceFbeBf552054Ccdd8,Copper (Hot Wallet)
0x9e7174caD1A3c8Cc479F44C397438e7d53A2D874,Copper (Hot Wallet)
0xdAa7143682fe59f6D2D541FF285d44B0aE3d37A2,Copper (Hot Wallet)
0xf61cCB7e1A1901428d0eC5dBdfA63B991B9c4B15,Copper (Hot Wallet)
0x3700749A3377Ec1E73Be540be012e013De5B5aca,Copper Deposit
0xCD531Ae9EFCCE479654c4926dec5F6209531Ca7b,Coinbase Prime (Hot Wallet)
0x1FcC47Ee0F19CA0f07F8b987F0aD32ac204C03a7,Unidentified
0x9ceb1acb844c759bd47D7026E9A9f168260F0328,Anchorage Digital Custody
0x8Fd589AA8bfA402156a6D1ad323FEC0ECee50D9D,Nexo
0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710,0x (MainnetSettler)
0xF886b7FfAE432eE3D21159568fd66d5aA6a55C80,Unidentified
0xd801032afCA7e1A568b862D7015B911C2A00D419,Unidentified
0x8E60b7b64b63cD56b18ebcECADcb79B04919286e,LZMultiCall
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,CoW Protocol (Settlement)
0x000010036C0190E009a000d0fc3541100A07380A,Velora / Prev. ParaSwap (Executor)
0x0000000000000000000000000000000000000000,Null Address
0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,Morpho (Morpho Blue)
0x6d1A85398e8F9B720c6a8A2fFC85b26E2c5b0c3E,Unidentified
0x6c8e3b9670330430eD9928c5C2288fD9a2F2c1B4,Coinbase (Coinbase Prime Custody)
0xE397A2646F132389364a87Ab602Bc29a9dcf2459,Unidentified
0xf48A3f7c0575c85cF4529aa220Caf3c055773f1C,0x (MainnetSettler)
0x9cd956e3f67D9C4c133d660683Da39A047e75A0F,Coinbase Deposit
0xC3a4253bA5B8Db0023b17f06e9130D999550754f,Coinbase (Cold Wallet)
0x5774931069218C8e8Ce9efce865A4371Bd1a9fFD,Copper (Hot Wallet)
0xf845a0A05Cbd91Ac15C3E59D126DE5dFbC2aAbb7,Paxos (Hot Wallet)
0x32a2AbeE11535ca677577ca7D25C099aAbd78C79,Unidentified
0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,Coinbase (Hot Wallet)
0x0C0d01AbF3e6aDfcA0989eBbA9d6e85dD58EaB1E,Aave (AETHPYUSD)
0x19b3cD7032B8C062E8d44EaCad661a0970DD8c55,Morpho (Sentora PYUSD)
0x80126555b170957dfed67a3BFbB7893e20fE4fC0,MorphoVaultV1Adapter
0xb576765fB15505433aF24FEe2c0325895C559FB2,MorphoVaultV2
0xA632D59b9B804a956BfaA9b48Af3A1b74808FC1f,Curve.fi (CurveStableSwapNG)
0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,Morpho (EthereumGeneralAdapter1)
0x860199F55d82f6bB14Cb15A6b5247C7A069245A5,Paxos Deposit
0x264bd8291fAE1D75DB2c5F573b07faA6715997B5,Paxos (Hot Wallet)
